Org ID, Org Name, Address, Website, Ranking, Total Revenue, Category,URL in Charitynavigator
12098,100 Black Men of America Inc., 141 Auburn Avenue,http://www.100blackmen.org/,2 stars,"$3,925,557 ",Human Services : Youth Development Shelter and Crisis Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12098
8770,1000 Friends of Oregon, 133 SW 2nd Ave,http://www.friends.org,2 stars,"$794,728 ",Environment : Environmental Protection and Conservation,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8770
10176,A Noise Within, 3352 East Foothill Boulevard,http://www.anoisewithin.org,2 stars,"$1,889,595 ",Arts Culture Humanities : Performing Arts,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10176
13189,Abandoned Children's Fund, 2360 Mendocino Ave A2-220,http://www.abandonedchildrensfund.org,2 stars,"$11,076,577 ",International : Development and Relief Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13189
11870,Abraham House, 340 Willis Avenue,,2 stars,"$845,838 ",Human Services : Social Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11870
15194,Abraham Lincoln Presidential Library Foundation, 500 East Madison Street,http://www.alplm.org/,2 stars,"$5,278,451 ",Arts Culture Humanities : Libraries Historical Societies and Landmark Preservation,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15194
14539,Absolute Return for Kids US, 25 West 53rd Street,,2 stars,"$2,578,909 ",International : Foreign Charity Support Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14539
12762,Abused Deaf Women's Advocacy Services, 8623 Roosevelt Way NE,http://www.adwas.org/,2 stars,"$1,281,958 ",Human Services : Social Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12762
14568,Academy of Fine Arts, 600 Main Street,http://www.academyfinearts.com,2 stars,"$2,751,685 ",Arts Culture Humanities : Performing Arts,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14568
9103,Academy of Television Arts & Sciences Foundation, 5220 Lankershim Boulevard,http://emmys.org/foundation/,2 stars,"$2,343,235 ",Education : Other Education Programs and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9103
13171,Acres of Love, 31920 Del Obispo,,2 stars,"$2,045,301 ",International : Development and Relief Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13171
8757,ActionAid USA, 1420 K Street NW,http://www.actionaidusa.org/,2 stars,"$2,310,129 ",International : Development and Relief Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8757
5018,Adirondack Historical Association, P.O. Box 99,http://www.adkmuseum.org,2 stars,"$4,354,808 ",Arts Culture Humanities : Museums,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5018
13962,African Bible Colleges, P.O. Box 103,,2 stars,"$3,729,207 ",Religion : Religious Activities,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13962
5857,African Enterprise, 128 East Palm Avenue,http://www.africanenterprise.org,2 stars,"$1,060,950 ",Religion : Religious Activities,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5857
9463,African Leadership, 500 Wilson Pike Circle,,2 stars,"$2,853,653 ",International : Development and Relief Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9463
5635,Agape Villages, 3160 Crow Canyon Place,http://www.agapevillages.org,2 stars,"$2,023,346 ",Human Services : Children's and Family Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5635
12270,AHRC New York City Foundation, 83 Maiden Lane,http://www.ahrcnycfoundation.org/,2 stars,"$2,185,612 ",Public Benefit : Fundraising Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12270
11185,AID FOR AIDS International, 515 Greenwich Street,http://www.aidforaids.org,2 stars,"$7,039,327 ",International : Development and Relief Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11185
12770,Aid for Starving Children, 182 Farmers Lane Suite 201,http://aidforstarvingchildren.org/,2 stars,"$12,271,276 ",Human Services : Children's and Family Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12770
3803,The Aims Project, P.O. Box 2640,http://www.aimshospital.org/how-to-help/donation-in-usa/,2 stars,"$544,520 ",International : Humanitarian Relief Supplies,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3803
6627,Akron Art Museum, One South High Street,http://www.akronartmuseum.org,2 stars,"$3,704,637 ",Arts Culture Humanities : Museums,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6627
9645,Alabama Symphony Orchestra, 3621 Sixth Avenue South,,2 stars,"$5,966,022 ",Arts Culture Humanities : Performing Arts,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9645
10988,The Albert Baker Fund, 1510 J Street,http://www.albertbakerfund.org,2 stars,"$1,346,033 ",Education : Other Education Programs and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10988
8155,Aldersgate Renewal Ministries, 121 East Avenue,http://www.aldersgaterenewal.org,2 stars,"$802,242 ",Religion : Religious Activities,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8155
10421,The Aleph Institute, 9540 Collins Avenue,http://www.alephinstitute.org,2 stars,"$1,916,408 ",Human Services : Social Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10421
5582,All Children's Hospital Foundation, 500 Seventh Avenue S,,2 stars,"$15,504,409 ",Public Benefit : Fundraising Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5582
11551,All God's Children International, 3308 Northeast Peerless Place,http://allgodschildren.org,2 stars,"$3,856,152 ",International : Development and Relief Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11551
11738,All India Movement for Seva, P.O. Box 639,http://www.aimforseva.org/,2 stars,"$1,639,367 ",International : Foreign Charity Support Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11738
8692,All Saints' Academy, 5001 State Road 540 W,http://www.allsaintsacademy.com/,2 stars,"$12,383,722 ",Education : Private Elementary and Secondary Schools,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8692
9418,Allentown Rescue Mission, 355 Hamilton Street,http://www.allentownrescuemission.org,2 stars,"$2,584,931 ",Human Services : Homeless Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9418
3232,Alliance of Confessing Evangelicals, 600 Eden Road,http://www.alliancenet.org,2 stars,"$3,246,256 ",Religion : Religious Media and Broadcasting,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3232
3233,Alliance to Save Energy, 1850 M Street NW,http://www.ase.org,2 stars,"$9,715,391 ",Environment : Environmental Protection and Conservation,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3233
14086,Alpha USA, 2275 Half Day Road,http://www.alphausa.org/Groups/1000060778/For_my_Church.aspx,2 stars,"$7,080,395 ",Religion : Religious Activities,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14086
9610,The ALS Association of Georgia, 1955 Cliff Valley Way,http://webga.alsa.org/site/PageServer?pagename=GA_homepage,2 stars,"$686,404 ",Health : Diseases Disorders and Disciplines,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9610
6528,America SCORES, 520 Eighth Avenue,http://www.americascores.org,2 stars,"$5,212,445 ",Human Services : Youth Development Shelter and Crisis Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6528
5137,America-Israel Friendship League, 134 East 39th Street,http://www.aifl.org,2 stars,"$1,262,188 ",International : International Peace Security and Affairs,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5137
6217,American Action Fund for Blind Children and Adults, 1800 Johnson Street,http://www.actionfund.org,2 stars,"$4,856,934 ",Human Services : Social Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6217
6598,American Anti-Vivisection Society, 801 Old York Road,http://www.aavs.org,2 stars,"$2,413,550 ",Animals : Animal Rights Welfare and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6598
12777,American Border Patrol, 2160 East Fry Boulevard,http://americanborderpatrol.com/,2 stars,"$1,330,449 ",Public Benefit : Advocacy and Civil Rights,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12777
6182,American Brain Foundation, 201 Chicago Avenue,https://www.AmericanBrainFoundation.org/,2 stars,"$4,926,190 ",Health : Diseases Disorders and Disciplines,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6182
6495,American Cancer Society, 250 Williams Street NW,,2 stars,"$924,453,841 ",Health : Diseases Disorders and Disciplines,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6495
