Org ID, Org Name, Address, Website, Ranking, Total Revenue, Category
10196,American Civil Rights Union, 3213 Duke Street,http://www.theacru.org/,0 stars,$2616229,Public Benefit : Advocacy and Civil Rights
6610,American Federation of Police and Concerned Citizens, 6350 Horizon Drive,http://www.afp-cc.org/,0 stars,$3959792,Human Services : Multipurpose Human Service Organizations
8626,American Friends of Neveh Zion, 68-01 Main Street,,0 stars,$970244,International : Foreign Charity Support Organizations
3267,American Jewish Congress, 115 East 57th Street,http://www.ajcongress.org,0 stars,$357569,International : International Peace Security and Affairs
14116,Ariel Ministries, PO Box 792507,http://ariel.org/,0 stars,$2432328,Religion : Religious Activities
13612,Autism Spectrum Disorder Foundation, 228 West Lincoln Highway 301,http://www.myasdf.org/site/,0 stars,$3847816,Health : Diseases Disorders and Disciplines
14115,Bibles for America, 355 Goddard,http://biblesforamerica.org/,0 stars,$2073421,Religion : Religious Activities
7147,Blinded Veterans Association, 477 H Street NW,http://www.bva.org/,0 stars,$3925054,Human Services : Social Services
11770,California Police Youth Charities, 7401 Galilee Road,http://www.calpyc.com/,0 stars,$2372045,Human Services : Youth Development Shelter and Crisis Services
11919,Camp Highland, 1200 Camp Highland Road,,0 stars,$1588671,Religion : Religious Activities
12761,Cancer Survivors' Fund, P.O. Box 792,http://www.cancersurvivorsfund.org,0 stars,$1395693,Health : Diseases Disorders and Disciplines
14785,CEC/Seabee Historical Foundation, P.O. Box 657,http://www.seabeehf.org/,0 stars,$1049217,Arts Culture Humanities : Libraries Historical Societies and Landmark Preservation
5459,Childhood Leukemia Foundation, 807 Mantoloking Road,http://www.clf4kids.org,0 stars,$5708672,Health : Diseases Disorders and Disciplines
8195,Children's Charity Fund Inc., 6623 Superior Avenue,http://www.childrenscharityfund.org/,0 stars,$920501,Human Services : Social Services
12735,Children's Leukemia Research Association, 585 Stewart Avenue,http://www.childrensleukemia.org,0 stars,$1150561,Health : Medical Research
7327,Christian Educational Ministries, P.O. Box 560,http://www.borntowin.net/,0 stars,$958872,Religion : Religious Media and Broadcasting
12314,Coalition to Salute America's Heroes, 552 Fort Evans Road,,0 stars,$14037038,Human Services : Social Services
13040,College Bound, 17316 Edwards Road,http://www.collegeboundca.org,0 stars,$1646861,Education : Other Education Programs and Services
8747,The Committee for Missing Children, 934 Stone Mill Run,http://www.findthekids.org,0 stars,$1894187,Public Benefit : Advocacy and Civil Rights
13967,Copperhead Charities, 36750 US Hwy. 19 North,http://www.tampabaychampionship.com/,0 stars,$8292427,Public Benefit : Fundraising Organizations
8767,Dakota Indian Foundation, 209 North Main Street,,0 stars,$1099389,Human Services : Social Services
7234,Defeat Diabetes Foundation, 150 153rd Avenue,http://www.defeatdiabetes.org/,0 stars,$1160746,Health : Diseases Disorders and Disciplines
10929,Disabled Police Officers Counseling Center, 222 Government Avenue,http://www.dpocc.org/,0 stars,$352099,Human Services : Multipurpose Human Service Organizations
10928,Disabled Police Officers of America, 222 Government Avenue,,0 stars,$1337434,Human Services : Multipurpose Human Service Organizations
10348,Diskin Orphan Home of Israel, 1533 44th Street,,0 stars,$516857,International : Foreign Charity Support Organizations
13035,Efrat-C.R.I.B., The American Friends of EFRAT-C.R.I.B.,http://www.friendsofefrat.org/,0 stars,$2449432,International : Foreign Charity Support Organizations
6857,Evangelistic Outreach Ministries, P.O. Box 56,,0 stars,$1116588,Religion : Religious Media and Broadcasting
13404,Faith's Hope Foundation, 444 North Harbor Boulevard,,0 stars,$3515679,Health : Patient and Family Support
3698,Firefighters Charitable Foundation, One West Street,http://www.ffcf.org,0 stars,$7600411,Human Services : Multipurpose Human Service Organizations
7450,FLAME, P.O. Box 590359,http://www.factsandlogic.org/,0 stars,$465341,International : International Peace Security and Affairs
13564,Friends of MS Charities, 396 West Ironwood Drive,http://donatemsut.org/Default.aspx,0 stars,$1149299,Health : Diseases Disorders and Disciplines
6789,Friends of Noam Shabbos, 1701 45th Street,,0 stars,$818997,International : Foreign Charity Support Organizations
6363,Garner Ted Armstrong Evangelistic Association, P.O. Box 747,http://www.garnertedarmstrong.org/,0 stars,$838635,Religion : Religious Media and Broadcasting
13027,The Gentle Barn, 15825 Sierra Highway,http://www.gentlebarn.org,0 stars,$1592592,Animals : Animal Rights Welfare and Services
10274,HALT, 1612 K Street NW,http://www.halt.org,0 stars,$384609,Public Benefit : Advocacy and Civil Rights
6295,Heart Support of America, 2902 Tazewell Pike Suite G,http://www.heartsupportofamerica.org/,0 stars,$2673789,Health : Diseases Disorders and Disciplines
10121,Iditarod Trail Committee, P.O. Box 870800,http://www.iditarod.com,0 stars,$3312062,Environment : Environmental Protection and Conservation
7770,Jerusalem Fellowships, 119 West 72nd Street,,0 stars,$3503125,Religion : Religious Activities
13505,Karen Ann Quinlan Charitable Foundation Inc., 99 SPARTA AVE,http://www.karenannquinlanhospice.org/,0 stars,$1315714,Health : Patient and Family Support
8926,Kidney & Urology Foundation of America, 152 Madison Avenue,http://www.kidneyurology.org,0 stars,$697395,Health : Diseases Disorders and Disciplines
9380,Kolel Chibas Jerusalem, 4802-A Twelfth Avenue,http://chibasjerusalem.com/,0 stars,$3065701,International : Foreign Charity Support Organizations
5012,Kolel Shomre Hachomos of Jerusalem, 18 Heyward Street,,0 stars,$7115291,International : Foreign Charity Support Organizations
11806,Law Enforcement Education Program, 667 East Big Beaver Road,http://www.leepusa.com,0 stars,$1440385,Human Services : Multipurpose Human Service Organizations
8149,Law Enforcement Legal Defense Fund, 1611 North Kent Street,http://www.policedefense.org/,0 stars,$2572732,Public Benefit : Advocacy and Civil Rights
6167,Macomb County Humane Society, 11350 22 Mile Road,,0 stars,$1233776,Animals : Animal Rights Welfare and Services
11741,Matthew Kelly Foundation, 2330 Kemper Lane,http://www.matthewkelly.org/,0 stars,$83668,Religion : Religious Activities
12342,Move America Forward, 8795 Folsom Boulevard,http://moveamericaforward.org,0 stars,$1274424,Human Services : Social Services
8330,National Association of Chiefs of Police, 6350 Horizon Drive,http://www.nacoponline.org/,0 stars,$3170390,Human Services : Multipurpose Human Service Organizations
4946,National Cancer Center, 88 Sunnyside Boulevard,http://www.nationalcancercenter.org/,0 stars,$3431786,Health : Medical Research
7112,National Caregiving Foundation, 801 North Pitt Street,http://www.caregivingfoundation.org/,0 stars,$2411354,Health : Patient and Family Support
8527,National Police Defense Foundation, 21 Kilmer Drive,,0 stars,$1977891,Human Services : Multipurpose Human Service Organizations
7591,National Veterans Services Fund Inc., P.O. Box 2465,http://www.nvsf.org/,0 stars,$9111243,Human Services : Social Services
11340,National Vietnam Veterans Foundation, 1919 Northeast 45th Street,http://nationalvietnamveteransfoundation.org/,0 stars,$4895211,Public Benefit : Advocacy and Civil Rights
10930,Panama City Rescue Mission, 609 Allen Ave,http://pcrmission.org/,0 stars,$1874411,Human Services : Homeless Services
9232,Patrick Henry Center for Individual Liberty, 10440 Balls Ford Road,http://www.patrickhenrycenter.com/,0 stars,$343503,Public Benefit : Advocacy and Civil Rights
13298,P'eylim Lev L'Achim, 1034 East 12th Street,,0 stars,$2951148,International : Foreign Charity Support Organizations
3887,Point of View Ministries, 2290 Springlake Drive,,0 stars,$1019800,Religion : Religious Media and Broadcasting
9894,Police Athletic League of New Jersey, 1019 Bloomfield Avenue,http://www.palnj.org/,0 stars,$1210296,Human Services : Youth Development Shelter and Crisis Services
8335,Police Protective Fund, 1009 West 6th Street,http://www.policeprotectivefund.org/,0 stars,$5869013,Human Services : Multipurpose Human Service Organizations
14092,Potter's Field Ministries, 914 2nd Street East,,0 stars,$1782235,Religion : Religious Activities
13811,Rebecca Farm, P.O. Box 595,http://rebeccafarm.org/,0 stars,$1127284,Human Services : Multipurpose Human Service Organizations
11763,The Retired Enlisted Association Memorial Foundation, 1111 South Abilene Court,http://www.trea.org/Org/mem_foundation.html,0 stars,$2732792,Human Services : Social Services
10940,The Rusty Staub Foundation, 100 Corporate Plaza,http://rustystaub.com/rusty-staub-foundation/rusty-staub-foundation-information/,0 stars,$1368621,Public Benefit : Fundraising Organizations
13526,Scottsdale League for the Arts, 7309 East Evans Road,http://leagueforthearts.org/,0 stars,$1200259,Public Benefit : Fundraising Organizations
7714,SHARE, 1501 Broadway,http://www.sharecancersupport.org/,0 stars,$1190008,Health : Diseases Disorders and Disciplines
6462,Shiloh International Ministries, P.O. Box 7157,,0 stars,$257066,Religion : Religious Activities
10354,State of Florida Association of Police Athletic/Activities Leagues Inc., P.O. Box 350399,http://www.sfapal.com/,0 stars,$536014,Human Services : Youth Development Shelter and Crisis Services
14141,The Station of the Cross, 6325 Sheridan Drive,,0 stars,$1297106,Religion : Religious Media and Broadcasting
10724,Texas Stampede, 2914 Swiss Avenue,http://www.texasstampede.org,0 stars,$218316,Public Benefit : Fundraising Organizations
11888,Tipitina's Foundation, 4040 Tulane Avenue,http://tipitinasfoundation.org/,0 stars,$1413051,Arts Culture Humanities : Performing Arts
7760,Torah Schools for Israel, 40 Exchange Place,,0 stars,$1483662,International : Foreign Charity Support Organizations
11251,United Care USA, 613 Colts Neck CT,,0 stars,$2407058,Human Services : Social Services
11054,United States Deputy Sheriff's Association, 319 South Hydraulic Street,http://www.usdsa.org/,0 stars,$2563008,Human Services : Multipurpose Human Service Organizations
14202,Veterans Support Foundation, 8719 Colesville Road,http://www.vsf-usa.org/,0 stars,$1910406,Human Services : Social Services
5417,Walker Cancer Research Institute, 18 North Law Street,http://walkercri.org/,0 stars,$10761022,Health : Medical Research
8308,Wishing Well Foundation USA, 3000 West Esplanade Avenue,http://www.wishingwellusa.org/home0.aspx,0 stars,$1152212,Health : Patient and Family Support
10029,Yad L'Achim Peyle Israel, 172 1/2 Lee Avenue,,0 stars,$1069633,Religion : Religious Activities
