Org ID, Org Name, Address, Website, Ranking, Total Revenue, Category,URL in Charitynavigator
10196,American Civil Rights Union, 3213 Duke Street,http://www.theacru.org/,0 stars,"$2,616,229 ",Public Benefit : Advocacy and Civil Rights,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10196
6610,American Federation of Police and Concerned Citizens, 6350 Horizon Drive,http://www.afp-cc.org/,0 stars,"$3,959,792 ",Human Services : Multipurpose Human Service Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6610
8626,American Friends of Neveh Zion, 68-01 Main Street,,0 stars,"$970,244 ",International : Foreign Charity Support Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8626
3267,American Jewish Congress, 115 East 57th Street,http://www.ajcongress.org,0 stars,"$357,569 ",International : International Peace Security and Affairs,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3267
14116,Ariel Ministries, PO Box 792507,http://ariel.org/,0 stars,"$2,432,328 ",Religion : Religious Activities,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14116
13612,Autism Spectrum Disorder Foundation, 228 West Lincoln Highway 301,http://www.myasdf.org/site/,0 stars,"$3,847,816 ",Health : Diseases Disorders and Disciplines,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13612
14115,Bibles for America, 355 Goddard,http://biblesforamerica.org/,0 stars,"$2,073,421 ",Religion : Religious Activities,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14115
7147,Blinded Veterans Association, 477 H Street NW,http://www.bva.org/,0 stars,"$3,925,054 ",Human Services : Social Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7147
11770,California Police Youth Charities, 7401 Galilee Road,http://www.calpyc.com/,0 stars,"$2,372,045 ",Human Services : Youth Development Shelter and Crisis Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11770
11919,Camp Highland, 1200 Camp Highland Road,,0 stars,"$1,588,671 ",Religion : Religious Activities,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11919
12761,Cancer Survivors' Fund, P.O. Box 792,http://www.cancersurvivorsfund.org,0 stars,"$1,395,693 ",Health : Diseases Disorders and Disciplines,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12761
14785,CEC/Seabee Historical Foundation, P.O. Box 657,http://www.seabeehf.org/,0 stars,"$1,049,217 ",Arts Culture Humanities : Libraries Historical Societies and Landmark Preservation,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14785
5459,Childhood Leukemia Foundation, 807 Mantoloking Road,http://www.clf4kids.org,0 stars,"$5,708,672 ",Health : Diseases Disorders and Disciplines,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5459
8195,Children's Charity Fund Inc., 6623 Superior Avenue,http://www.childrenscharityfund.org/,0 stars,"$920,501 ",Human Services : Social Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8195
12735,Children's Leukemia Research Association, 585 Stewart Avenue,http://www.childrensleukemia.org,0 stars,"$1,150,561 ",Health : Medical Research,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12735
7327,Christian Educational Ministries, P.O. Box 560,http://www.borntowin.net/,0 stars,"$958,872 ",Religion : Religious Media and Broadcasting,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7327
12314,Coalition to Salute America's Heroes, 552 Fort Evans Road,,0 stars,"$14,037,038 ",Human Services : Social Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12314
13040,College Bound, 17316 Edwards Road,http://www.collegeboundca.org,0 stars,"$1,646,861 ",Education : Other Education Programs and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13040
8747,The Committee for Missing Children, 934 Stone Mill Run,http://www.findthekids.org,0 stars,"$1,894,187 ",Public Benefit : Advocacy and Civil Rights,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8747
13967,Copperhead Charities, 36750 US Hwy. 19 North,http://www.tampabaychampionship.com/,0 stars,"$8,292,427 ",Public Benefit : Fundraising Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13967
8767,Dakota Indian Foundation, 209 North Main Street,,0 stars,"$1,099,389 ",Human Services : Social Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8767
7234,Defeat Diabetes Foundation, 150 153rd Avenue,http://www.defeatdiabetes.org/,0 stars,"$1,160,746 ",Health : Diseases Disorders and Disciplines,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7234
10929,Disabled Police Officers Counseling Center, 222 Government Avenue,http://www.dpocc.org/,0 stars,"$352,099 ",Human Services : Multipurpose Human Service Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10929
10928,Disabled Police Officers of America, 222 Government Avenue,,0 stars,"$1,337,434 ",Human Services : Multipurpose Human Service Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10928
10348,Diskin Orphan Home of Israel, 1533 44th Street,,0 stars,"$516,857 ",International : Foreign Charity Support Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10348
13035,Efrat-C.R.I.B., The American Friends of EFRAT-C.R.I.B.,http://www.friendsofefrat.org/,0 stars,"$2,449,432 ",International : Foreign Charity Support Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13035
6857,Evangelistic Outreach Ministries, P.O. Box 56,,0 stars,"$1,116,588 ",Religion : Religious Media and Broadcasting,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6857
13404,Faith's Hope Foundation, 444 North Harbor Boulevard,,0 stars,"$3,515,679 ",Health : Patient and Family Support,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13404
3698,Firefighters Charitable Foundation, One West Street,http://www.ffcf.org,0 stars,"$7,600,411 ",Human Services : Multipurpose Human Service Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3698
7450,FLAME, P.O. Box 590359,http://www.factsandlogic.org/,0 stars,"$465,341 ",International : International Peace Security and Affairs,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7450
13564,Friends of MS Charities, 396 West Ironwood Drive,http://donatemsut.org/Default.aspx,0 stars,"$1,149,299 ",Health : Diseases Disorders and Disciplines,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13564
6789,Friends of Noam Shabbos, 1701 45th Street,,0 stars,"$818,997 ",International : Foreign Charity Support Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6789
6363,Garner Ted Armstrong Evangelistic Association, P.O. Box 747,http://www.garnertedarmstrong.org/,0 stars,"$838,635 ",Religion : Religious Media and Broadcasting,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6363
13027,The Gentle Barn, 15825 Sierra Highway,http://www.gentlebarn.org,0 stars,"$1,592,592 ",Animals : Animal Rights Welfare and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13027
10274,HALT, 1612 K Street NW,http://www.halt.org,0 stars,"$384,609 ",Public Benefit : Advocacy and Civil Rights,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10274
6295,Heart Support of America, 2902 Tazewell Pike Suite G,http://www.heartsupportofamerica.org/,0 stars,"$2,673,789 ",Health : Diseases Disorders and Disciplines,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6295
10121,Iditarod Trail Committee, P.O. Box 870800,http://www.iditarod.com,0 stars,"$3,312,062 ",Environment : Environmental Protection and Conservation,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10121
7770,Jerusalem Fellowships, 119 West 72nd Street,,0 stars,"$3,503,125 ",Religion : Religious Activities,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7770
13505,Karen Ann Quinlan Charitable Foundation Inc., 99 SPARTA AVE,http://www.karenannquinlanhospice.org/,0 stars,"$1,315,714 ",Health : Patient and Family Support,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13505
8926,Kidney & Urology Foundation of America, 152 Madison Avenue,http://www.kidneyurology.org,0 stars,"$697,395 ",Health : Diseases Disorders and Disciplines,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8926
9380,Kolel Chibas Jerusalem, 4802-A Twelfth Avenue,http://chibasjerusalem.com/,0 stars,"$3,065,701 ",International : Foreign Charity Support Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9380
5012,Kolel Shomre Hachomos of Jerusalem, 18 Heyward Street,,0 stars,"$7,115,291 ",International : Foreign Charity Support Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5012
11806,Law Enforcement Education Program, 667 East Big Beaver Road,http://www.leepusa.com,0 stars,"$1,440,385 ",Human Services : Multipurpose Human Service Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11806
8149,Law Enforcement Legal Defense Fund, 1611 North Kent Street,http://www.policedefense.org/,0 stars,"$2,572,732 ",Public Benefit : Advocacy and Civil Rights,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8149
6167,Macomb County Humane Society, 11350 22 Mile Road,,0 stars,"$1,233,776 ",Animals : Animal Rights Welfare and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6167
11741,Matthew Kelly Foundation, 2330 Kemper Lane,http://www.matthewkelly.org/,0 stars,"$83,668 ",Religion : Religious Activities,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11741
12342,Move America Forward, 8795 Folsom Boulevard,http://moveamericaforward.org,0 stars,"$1,274,424 ",Human Services : Social Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12342
8330,National Association of Chiefs of Police, 6350 Horizon Drive,http://www.nacoponline.org/,0 stars,"$3,170,390 ",Human Services : Multipurpose Human Service Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8330
4946,National Cancer Center, 88 Sunnyside Boulevard,http://www.nationalcancercenter.org/,0 stars,"$3,431,786 ",Health : Medical Research,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4946
7112,National Caregiving Foundation, 801 North Pitt Street,http://www.caregivingfoundation.org/,0 stars,"$2,411,354 ",Health : Patient and Family Support,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7112
8527,National Police Defense Foundation, 21 Kilmer Drive,,0 stars,"$1,977,891 ",Human Services : Multipurpose Human Service Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8527
7591,National Veterans Services Fund Inc., P.O. Box 2465,http://www.nvsf.org/,0 stars,"$9,111,243 ",Human Services : Social Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7591
11340,National Vietnam Veterans Foundation, 1919 Northeast 45th Street,http://nationalvietnamveteransfoundation.org/,0 stars,"$4,895,211 ",Public Benefit : Advocacy and Civil Rights,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11340
10930,Panama City Rescue Mission, 609 Allen Ave,http://pcrmission.org/,0 stars,"$1,874,411 ",Human Services : Homeless Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10930
9232,Patrick Henry Center for Individual Liberty, 10440 Balls Ford Road,http://www.patrickhenrycenter.com/,0 stars,"$343,503 ",Public Benefit : Advocacy and Civil Rights,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9232
13298,P'eylim Lev L'Achim, 1034 East 12th Street,,0 stars,"$2,951,148 ",International : Foreign Charity Support Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13298
3887,Point of View Ministries, 2290 Springlake Drive,,0 stars,"$1,019,800 ",Religion : Religious Media and Broadcasting,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3887
9894,Police Athletic League of New Jersey, 1019 Bloomfield Avenue,http://www.palnj.org/,0 stars,"$1,210,296 ",Human Services : Youth Development Shelter and Crisis Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9894
8335,Police Protective Fund, 1009 West 6th Street,http://www.policeprotectivefund.org/,0 stars,"$5,869,013 ",Human Services : Multipurpose Human Service Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8335
14092,Potter's Field Ministries, 914 2nd Street East,,0 stars,"$1,782,235 ",Religion : Religious Activities,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14092
13811,Rebecca Farm, P.O. Box 595,http://rebeccafarm.org/,0 stars,"$1,127,284 ",Human Services : Multipurpose Human Service Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13811
11763,The Retired Enlisted Association Memorial Foundation, 1111 South Abilene Court,http://www.trea.org/Org/mem_foundation.html,0 stars,"$2,732,792 ",Human Services : Social Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11763
10940,The Rusty Staub Foundation, 100 Corporate Plaza,http://rustystaub.com/rusty-staub-foundation/rusty-staub-foundation-information/,0 stars,"$1,368,621 ",Public Benefit : Fundraising Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10940
13526,Scottsdale League for the Arts, 7309 East Evans Road,http://leagueforthearts.org/,0 stars,"$1,200,259 ",Public Benefit : Fundraising Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13526
7714,SHARE, 1501 Broadway,http://www.sharecancersupport.org/,0 stars,"$1,190,008 ",Health : Diseases Disorders and Disciplines,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7714
6462,Shiloh International Ministries, P.O. Box 7157,,0 stars,"$257,066 ",Religion : Religious Activities,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6462
10354,State of Florida Association of Police Athletic/Activities Leagues Inc., P.O. Box 350399,http://www.sfapal.com/,0 stars,"$536,014 ",Human Services : Youth Development Shelter and Crisis Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10354
14141,The Station of the Cross, 6325 Sheridan Drive,,0 stars,"$1,297,106 ",Religion : Religious Media and Broadcasting,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14141
10724,Texas Stampede, 2914 Swiss Avenue,http://www.texasstampede.org,0 stars,"$218,316 ",Public Benefit : Fundraising Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10724
11888,Tipitina's Foundation, 4040 Tulane Avenue,http://tipitinasfoundation.org/,0 stars,"$1,413,051 ",Arts Culture Humanities : Performing Arts,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11888
7760,Torah Schools for Israel, 40 Exchange Place,,0 stars,"$1,483,662 ",International : Foreign Charity Support Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7760
11251,United Care USA, 613 Colts Neck CT,,0 stars,"$2,407,058 ",Human Services : Social Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11251
11054,United States Deputy Sheriff's Association, 319 South Hydraulic Street,http://www.usdsa.org/,0 stars,"$2,563,008 ",Human Services : Multipurpose Human Service Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11054
14202,Veterans Support Foundation, 8719 Colesville Road,http://www.vsf-usa.org/,0 stars,"$1,910,406 ",Human Services : Social Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14202
5417,Walker Cancer Research Institute, 18 North Law Street,http://walkercri.org/,0 stars,"$10,761,022 ",Health : Medical Research,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5417
8308,Wishing Well Foundation USA, 3000 West Esplanade Avenue,http://www.wishingwellusa.org/home0.aspx,0 stars,"$1,152,212 ",Health : Patient and Family Support,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8308
