Org ID, Org Name, Address, Website, Ranking, Total Revenue, Category,URL In CharityNavigator
12123,100 Club of Arizona, 5033 North Nineteenth Avenue,http://www.100club.org,4 stars,"$1,483,812 ",Human Services : Multipurpose Human Service Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12123
13055,4 Paws for Ability, 207 Dayton Avenue,,4 stars,"$1,737,889 ",Human Services : Social Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13055
4792,The 92nd Street Y, 1395 Lexington Avenue,http://www.92y.org,4 stars,"$67,002,916 ",Human Services : Multipurpose Human Service Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4792
15368,A Child's Place, 601 East Fifth Street,http://www.achildsplace.org/,4 stars,"$2,549,432 ",Education : Other Education Programs and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15368
8040,A Place Called Home, 2830 South Central Avenue,http://www.apch.org,4 stars,"$5,344,033 ",Human Services : Youth Development Shelter and Crisis Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8040
8302,AAA Foundation for Traffic Safety, 607 14th Street NW,http://www.aaafoundation.org,4 stars,"$3,631,659 ",Public Benefit : Research and Public Policy Institutions,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8302
4991,Aaron Diamond AIDS Research Center, 455 First Avenue,http://www.adarc.org,4 stars,"$21,648,122 ",Health : Medical Research,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4991
3240,AAUW - American Association of University Women, 1111 Sixteenth Street NW,,4 stars,"$13,885,466 ",Education : Other Education Programs and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3240
9182,Abode Services, 40849 Fremont Boulevard,http://www.abodeservices.org,4 stars,"$13,388,099 ",Human Services : Homeless Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9182
9371,The Abraham Fund Initiatives, Nine East 45th Street,http://www.abrahamfund.org,4 stars,"$3,565,194 ",International : Foreign Charity Support Organizations,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9371
6013,Abraham Joshua Heschel School, 270 West 89th Street,http://www.heschel.org,4 stars,"$36,792,784 ",Education : Private Elementary and Secondary Schools,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6013
4994,Abyssinian Development Corporation, Four West 125th Street,http://www.adcorp.org,4 stars,"$23,067,174 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4994
3209,The Academy of Natural Sciences of Drexel University, 1900 Benjamin Franklin Parkway,http://www.ansp.org,4 stars,"$19,114,668 ",Arts Culture Humanities : Museums,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3209
8467,Academy of Nutrition and Dietetics Foundation, 120 South Riverside Plaza,http://www.eatright.org/,4 stars,"$4,089,911 ",Health : Treatment and Prevention Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8467
7859,ACCESS College Foundation, 7300 Newport Avenue,http://www.accesscollege.org/,4 stars,"$9,440,821 ",Education : Other Education Programs and Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7859
9311,Access Fund, 207 Canyon,,4 stars,"$1,414,699 ",Environment : Botanical Gardens Parks and Nature Centers,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9311
7754,Accion East, 80 Maiden Lane,http://www.accioneast.org,4 stars,"$5,414,515 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7754
3211,ACCION International, 56 Roland Street,http://www.accion.org,4 stars,"$43,134,199 ",International : Development and Relief Services,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3211
7904,ACCION New Mexico, 2000 Zearing Ave. NW,http://www.accionnm.org/,4 stars,"$4,058,268 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7904
7806,ACCION San Diego, 404 Euclid Avenue Ste 271,http://www.accionsandiego.org/,4 stars,"$1,792,955 ",Public Benefit : Community and Housing Development,www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7806
