Org ID, Org Name, Address, Website, Ranking, Total Revenue, Category
10087,The Acadiana Outreach Center, 125 South Buchanan Street,http://www.acadianaoutreach.org/,1 stars,$-56435,Human Services : Social Services
10184,Activated Ministries, 735 S Vinewood St,http://www.activatedministries.org,1 stars,$2529549,Religion : Religious Activities
15381,Actors Playhouse, 280 Miracle Mile,http://www.actorsplayhouse.org/,1 stars,$3620171,Arts Culture Humanities : Performing Arts
12503,The Aidmatrix Foundation, P.O. Box 631086,http://aidmatrix.org,1 stars,$3781039,International : Development and Relief Services
8802,AIDS Community Research Initiative of America, 575 8th Avenue,http://acria.org,1 stars,$2597001,Health : Diseases Disorders and Disciplines
7701,AIDS Research Alliance, 1400 S. Grand Ave,http://www.aidsresearch.org/,1 stars,$1898949,Health : Medical Research
10661,Airline Ambassadors International, 1500 Massachusetts NW,http://www.airlineamb.org/,1 stars,$407209,International : International Peace Security and Affairs
7261,Alabama Shakespeare Festival, One Festival Drive,http://www.asf.net/,1 stars,$5712197,Arts Culture Humanities : Performing Arts
13639,The Alabama Sheriffs' Youth Ranches, 2680 Bell Road,http://www.sheriffsranch.org/,1 stars,$1566272,Human Services : Youth Development Shelter and Crisis Services
6766,Albany Institute of History & Art, 125 Washington Avenue,http://www.albanyinstitute.org/,1 stars,$1232752,Arts Culture Humanities : Museums
13763,All India Mission, 11252 Strang Line,,1 stars,$1600948,Religion : Religious Activities
10853,Alley Cat Rescue, P.O. Box 585,http://www.saveacat.org,1 stars,$1021589,Animals : Animal Rights Welfare and Services
5521,Ambassadors for Christ International - USA, 1355 Terrell Mill Road,http://afci.us/,1 stars,$965813,Religion : Religious Activities
9549,American Architectural Foundation, 2101 L Street NW,http://www.archfoundation.org,1 stars,$2230588,Public Benefit : Community and Housing Development
8004,American Breast Cancer Foundation, 1220 B East Joppa Road,http://www.abcf.org/,1 stars,$959635,Health : Diseases Disorders and Disciplines
12586,American Center for Law and Justice - District of Columbia, PO Box 90555,,1 stars,$1012222,Public Benefit : Advocacy and Civil Rights
4918,American Friends of Ateret Cohanim, 470 Seventh Avenue,http://www.ateret.org.il/english/,1 stars,$1036408,International : Foreign Charity Support Organizations
11351,American Friends of Beit Issie Shapiro, 51 East 42nd Street,http://en.beitissie.org.il/international/united-states/welcome/,1 stars,$1056547,International : Foreign Charity Support Organizations
14119,American Friends of Chabad of Thailand, 80 Shore Road,http://www.jewishthailand.com/,1 stars,$1759369,International : Foreign Charity Support Organizations
13240,American Friends of Kupat Hair, 4415 14th Avenue,http://www.kupat.org/worldwide/,1 stars,$4066298,International : Foreign Charity Support Organizations
13458,American Friends of Rabbinical College of Telzstone, 510 Second Street,,1 stars,$7594693,International : Foreign Charity Support Organizations
3264,American Institute for Cancer Research, Department IHW1,http://www.aicr.org,1 stars,$21740772,Health : Medical Research
12968,The American Spectator Foundation, 1611 North Kent Street,http://spectator.org/,1 stars,$2585553,Arts Culture Humanities : Public Broadcasting and Media
14577,American Values, P.O. Box 1223,http://ouramericanvalues.org/,1 stars,$1173809,Public Benefit : Advocacy and Civil Rights
7831,America's Family Coaches, 2540 106th Street,http://www.americasfamilycoaches.com/,1 stars,$1116999,Religion : Religious Media and Broadcasting
15254,America's Packard Museum, 420 South Ludlow Street,http://www.americaspackardmuseum.org/,1 stars,$1251702,Arts Culture Humanities : Museums
9225,Anderson Animal Shelter, 1000 South La Fox Street,http://www.andersonanimalshelter.org/,1 stars,$786763,Animals : Animal Rights Welfare and Services
13854,Appalshop, 91 Madison Ave,http://appalshop.org/,1 stars,$1031115,Arts Culture Humanities : Performing Arts
