Org ID, Org Name, Address, Website, Ranking, Total Revenue, Category
12123,100 Club of Arizona, 5033 North Nineteenth Avenue,http://www.100club.org,4 stars,"$1,483,812 ",Human Services : Multipurpose Human Service Organizations
13055,4 Paws for Ability, 207 Dayton Avenue,,4 stars,"$1,737,889 ",Human Services : Social Services
4792,The 92nd Street Y, 1395 Lexington Avenue,http://www.92y.org,4 stars,"$67,002,916 ",Human Services : Multipurpose Human Service Organizations
15368,A Child's Place, 601 East Fifth Street,http://www.achildsplace.org/,4 stars,"$2,549,432 ",Education : Other Education Programs and Services
8040,A Place Called Home, 2830 South Central Avenue,http://www.apch.org,4 stars,"$5,344,033 ",Human Services : Youth Development Shelter and Crisis Services
8302,AAA Foundation for Traffic Safety, 607 14th Street NW,http://www.aaafoundation.org,4 stars,"$3,631,659 ",Public Benefit : Research and Public Policy Institutions
4991,Aaron Diamond AIDS Research Center, 455 First Avenue,http://www.adarc.org,4 stars,"$21,648,122 ",Health : Medical Research
3240,AAUW - American Association of University Women, 1111 Sixteenth Street NW,,4 stars,"$13,885,466 ",Education : Other Education Programs and Services
9182,Abode Services, 40849 Fremont Boulevard,http://www.abodeservices.org,4 stars,"$13,388,099 ",Human Services : Homeless Services
9371,The Abraham Fund Initiatives, Nine East 45th Street,http://www.abrahamfund.org,4 stars,"$3,565,194 ",International : Foreign Charity Support Organizations
6013,Abraham Joshua Heschel School, 270 West 89th Street,http://www.heschel.org,4 stars,"$36,792,784 ",Education : Private Elementary and Secondary Schools
4994,Abyssinian Development Corporation, Four West 125th Street,http://www.adcorp.org,4 stars,"$23,067,174 ",Public Benefit : Community and Housing Development
3209,The Academy of Natural Sciences of Drexel University, 1900 Benjamin Franklin Parkway,http://www.ansp.org,4 stars,"$19,114,668 ",Arts Culture Humanities : Museums
8467,Academy of Nutrition and Dietetics Foundation, 120 South Riverside Plaza,http://www.eatright.org/,4 stars,"$4,089,911 ",Health : Treatment and Prevention Services
7859,ACCESS College Foundation, 7300 Newport Avenue,http://www.accesscollege.org/,4 stars,"$9,440,821 ",Education : Other Education Programs and Services
9311,Access Fund, 207 Canyon,,4 stars,"$1,414,699 ",Environment : Botanical Gardens Parks and Nature Centers
7754,Accion East, 80 Maiden Lane,http://www.accioneast.org,4 stars,"$5,414,515 ",Public Benefit : Community and Housing Development
3211,ACCION International, 56 Roland Street,http://www.accion.org,4 stars,"$43,134,199 ",International : Development and Relief Services
7904,ACCION New Mexico, 2000 Zearing Ave. NW,http://www.accionnm.org/,4 stars,"$4,058,268 ",Public Benefit : Community and Housing Development
7806,ACCION San Diego, 404 Euclid Avenue Ste 271,http://www.accionsandiego.org/,4 stars,"$1,792,955 ",Public Benefit : Community and Housing Development
7886,ACCION Texas, 2014 South Hackberry Street,http://www.acciontexas.org/,4 stars,"$11,354,259 ",Public Benefit : Community and Housing Development
11257,ACE Scholarships, 1201 East Colfax Avenue,http://www.acescholarships.org/,4 stars,"$5,913,104 ",Education : Other Education Programs and Services
6917,Achievement Centers for Children, 4255 Northfield Road,http://www.achievementcenters.org/,4 stars,"$8,191,392 ",Human Services : Social Services
12696,Achievement First, 403 James Street,http://www.achievementfirst.org,4 stars,"$27,246,098 ",Education : Other Education Programs and Services
15006,ACLU Foundation of Massachusetts, 211 Congress Street,http://aclum.org/,4 stars,"$3,988,460 ",Public Benefit : Advocacy and Civil Rights
3212,Action Against Hunger | ACF-USA, 247 West 37th Street,http://www.actionagainsthunger.org,4 stars,"$63,586,835 ",International : Development and Relief Services
8861,The Action Center, 8755 West Fourteenth Avenue,http://www.theactioncenterco.org/,4 stars,"$10,148,486 ",Human Services : Homeless Services
7153,Action in Community Through Service, 3900 ACTS Lane,,4 stars,"$5,449,052 ",Human Services : Social Services
12729,Action Ministries Inc., 17 Executive Park Suite 540,http://www.actionministries.net,4 stars,"$5,025,836 ",Human Services : Social Services
